"","Pattern","Gene"
"651",8,"samd1a"
"652",8,"LOC102794994"
"653",8,"LOC102784823"
"654",8,"usp45"
"655",8,"LOC102788925"
"656",8,"im:7147486"
"657",8,"zbtb46"
"658",8,"LOC102794250"
"659",8,"garnl3"
"660",8,"znf598"
"661",8,"numb"
"662",8,"klc1b"
"663",8,"ccnl1a"
"664",8,"LOC102776617"
"665",8,"erlin1"
"666",8,"shisa9a"
"667",8,"sirt2"
"668",8,"ptpn3"
"669",8,"LOC102796497"
"670",8,"aldh4a1"
"671",8,"atf5a"
"672",8,"LOC102792307"
"673",8,"LOC102793390"
"674",8,"asic2"
"675",8,"mafaa"
"676",8,"flna"
"677",8,"LOC102779974"
"678",8,"prkd4"
"679",8,"cunh20orf27"
"680",8,"enox1"
"681",8,"LOC102788488"
"682",8,"LOC102778857"
"683",8,"LOC102790631"
"684",8,"xpo1b"
"685",8,"bcam"
"686",8,"LOC102782515"
"687",8,"LOC102776950"
"688",8,"LOC102794422"
